Time(s),Ch1(A),Ch2(V),Ch3(V)
-1.000000000000000021e-02,-5.188291999999999904e-01,1.365339999999999956e-02,6.826699999999999782e-03
-9.980000000000001023e-03,-5.120025000000000270e-01,1.365339999999999956e-02,4.778690000000000368e-03
-9.960000000000000103e-03,-5.120025000000000270e-01,1.365339999999999956e-02,1.501874000000000091e-02
-9.940000000000000918e-03,-5.188291999999999904e-01,0.000000000000000000e+00,2.730680000000000086e-03
-9.919999999999999998e-03,-5.188291999999999904e-01,0.000000000000000000e+00,1.638408000000000225e-02
-9.900000000000000813e-03,-5.120025000000000270e-01,1.365339999999999956e-02,2.048010000000000282e-03
-9.879999999999999893e-03,-5.188291999999999904e-01,1.365339999999999956e-02,4.096020000000000563e-03
-9.860000000000000708e-03,-5.051757999999999527e-01,0.000000000000000000e+00,2.048010000000000108e-02
-9.839999999999999789e-03,-5.120025000000000270e-01,6.826699999999999782e-03,4.096020000000000563e-03
-9.820000000000000603e-03,-5.051757999999999527e-01,1.365339999999999956e-02,1.979743000000000128e-02
-9.799999999999999684e-03,-5.120025000000000270e-01,6.826699999999999782e-03,6.144029999999999977e-03
-9.780000000000000498e-03,-5.051757999999999527e-01,1.365339999999999956e-02,2.116277000000000089e-02
-9.759999999999999579e-03,-4.983490999999999893e-01,2.048010000000000108e-02,2.048010000000000108e-02
-9.740000000000000394e-03,-5.120025000000000270e-01,6.826699999999999782e-03,3.413349999999999891e-03
-9.719999999999999474e-03,-4.983490999999999893e-01,0.000000000000000000e+00,3.413349999999999891e-03
-9.700000000000000289e-03,-5.051757999999999527e-01,1.365339999999999956e-02,1.843209000000000167e-02
-9.679999999999999369e-03,-4.983490999999999893e-01,6.826699999999999782e-03,9.557380000000000736e-03
-9.660000000000000184e-03,-5.051757999999999527e-01,2.048010000000000108e-02,2.389345000000000011e-02
-9.640000000000000999e-03,-5.051757999999999527e-01,2.048010000000000108e-02,2.457611999999999991e-02
-9.620000000000000079e-03,-4.983490999999999893e-01,6.826699999999999782e-03,8.874710000000000931e-03
-9.600000000000000894e-03,-5.051757999999999527e-01,6.826699999999999782e-03,7.509370000000000454e-03
-9.579999999999999974e-03,-4.983490999999999893e-01,1.365339999999999956e-02,2.184544000000000069e-02
-9.560000000000000789e-03,-4.983490999999999893e-01,1.365339999999999956e-02,8.192040000000001126e-03
-9.539999999999999869e-03,-4.915223999999999704e-01,6.826699999999999782e-03,2.321078000000000030e-02
-9.520000000000000684e-03,-4.983490999999999893e-01,2.048010000000000108e-02,2.116277000000000089e-02
-9.499999999999999764e-03,-4.915223999999999704e-01,6.826699999999999782e-03,7.509370000000000454e-03
-9.480000000000000579e-03,-4.983490999999999893e-01,1.365339999999999956e-02,4.778690000000000368e-03
-9.459999999999999659e-03,-4.915223999999999704e-01,6.826699999999999782e-03,1.911476000000000147e-02
-9.440000000000000474e-03,-4.983490999999999893e-01,6.826699999999999782e-03,8.874710000000000931e-03
-9.419999999999999554e-03,-4.846957000000000071e-01,1.365339999999999956e-02,2.252811000000000050e-02
-9.400000000000000369e-03,-4.983490999999999893e-01,1.365339999999999956e-02,2.184544000000000069e-02
-9.379999999999999449e-03,-4.846957000000000071e-01,6.826699999999999782e-03,6.826699999999999782e-03
-9.360000000000000264e-03,-4.915223999999999704e-01,6.826699999999999782e-03,2.525878999999999971e-02
-9.339999999999999344e-03,-4.846957000000000071e-01,2.048010000000000108e-02,9.557380000000000736e-03
-9.320000000000000159e-03,-4.915223999999999704e-01,6.826699999999999782e-03,2.048010000000000108e-02
-9.299999999999999239e-03,-4.846957000000000071e-01,2.048010000000000108e-02,6.826699999999999782e-03
-9.280000000000000054e-03,-4.915223999999999704e-01,1.365339999999999956e-02,4.778690000000000368e-03
-9.260000000000000869e-03,-4.778689999999999882e-01,6.826699999999999782e-03,1.979743000000000128e-02
-9.239999999999999949e-03,-4.915223999999999704e-01,1.365339999999999956e-02,4.096020000000000563e-03
-9.220000000000000764e-03,-4.846957000000000071e-01,6.826699999999999782e-03,2.048010000000000108e-02
-9.199999999999999845e-03,-4.846957000000000071e-01,1.365339999999999956e-02,7.509370000000000454e-03
-9.180000000000000659e-03,-4.778689999999999882e-01,6.826699999999999782e-03,2.389345000000000011e-02
-9.159999999999999740e-03,-4.846957000000000071e-01,6.826699999999999782e-03,2.389345000000000011e-02
-9.140000000000000555e-03,-4.778689999999999882e-01,2.048010000000000108e-02,9.557380000000000736e-03
-9.119999999999999635e-03,-4.710422999999999694e-01,2.048010000000000108e-02,7.509370000000000454e-03
-9.100000000000000450e-03,-4.846957000000000071e-01,6.826699999999999782e-03,2.184544000000000069e-02
-9.079999999999999530e-03,-4.846957000000000071e-01,2.048010000000000108e-02,2.389345000000000011e-02
-9.060000000000000345e-03,-4.710422999999999694e-01,6.826699999999999782e-03,8.874710000000000931e-03
-9.039999999999999425e-03,-4.846957000000000071e-01,6.826699999999999782e-03,2.457611999999999991e-02
-9.020000000000000240e-03,-4.710422999999999694e-01,2.048010000000000108e-02,9.557380000000000736e-03
-9.000000000000001055e-03,-4.710422999999999694e-01,2.048010000000000108e-02,2.321078000000000030e-02
-8.980000000000000135e-03,-4.778689999999999882e-01,6.826699999999999782e-03,8.874710000000000931e-03
-8.959999999999999215e-03,-4.778689999999999882e-01,2.048010000000000108e-02,2.457611999999999991e-02
-8.940000000000000030e-03,-4.710422999999999694e-01,6.826699999999999782e-03,9.557380000000000736e-03
