Time(s),Ch1(A),Ch2(V),Ch3(V)
1.280000000000000061e-02,-4.027753000000000028e-01,3.720497000000000387e-01,2.730680000000000086e-03
1.281999999999999980e-02,-4.096019999999999661e-01,3.686364000000000307e-01,-6.144029999999999977e-03
1.284000000000000072e-02,-4.027753000000000028e-01,3.754630000000000467e-01,-5.461360000000000173e-03
1.285999999999999990e-02,-4.096019999999999661e-01,3.686364000000000307e-01,2.048010000000000282e-03
1.288000000000000082e-02,-4.027753000000000028e-01,3.754630000000000467e-01,4.778690000000000368e-03
1.290000000000000001e-02,-4.096019999999999661e-01,3.788762999999999992e-01,-2.048010000000000282e-03
1.292000000000000093e-02,-4.027753000000000028e-01,3.857029000000000152e-01,-8.192040000000001126e-03
1.294000000000000011e-02,-4.096019999999999661e-01,3.754630000000000467e-01,1.365340000000000043e-03
1.296000000000000103e-02,-4.096019999999999661e-01,3.720497000000000387e-01,4.096020000000000563e-03
1.298000000000000022e-02,-4.164286999999999850e-01,3.720497000000000387e-01,-4.778690000000000368e-03
1.300000000000000114e-02,-4.027753000000000028e-01,3.754630000000000467e-01,4.778690000000000368e-03
1.302000000000000032e-02,-4.164286999999999850e-01,3.788762999999999992e-01,-2.730680000000000086e-03
1.304000000000000124e-02,-4.096019999999999661e-01,3.822896000000000072e-01,-3.413349999999999891e-03
1.306000000000000043e-02,-4.164286999999999850e-01,3.754630000000000467e-01,6.826700000000000216e-04
1.308000000000000135e-02,-4.096019999999999661e-01,3.788762999999999992e-01,6.826700000000000216e-04
1.310000000000000053e-02,-4.232554000000000038e-01,3.720497000000000387e-01,-6.826699999999999782e-03
1.312000000000000145e-02,-4.164286999999999850e-01,3.686364000000000307e-01,-6.826700000000000216e-04
1.314000000000000064e-02,-4.232554000000000038e-01,3.618098000000000147e-01,-8.874710000000000931e-03
1.315999999999999982e-02,-4.164286999999999850e-01,3.549831999999999987e-01,-3.413349999999999891e-03
1.318000000000000074e-02,-4.232554000000000038e-01,3.583965000000000067e-01,2.048010000000000282e-03
1.319999999999999993e-02,-4.232554000000000038e-01,3.583965000000000067e-01,-3.413349999999999891e-03
1.322000000000000085e-02,-4.164286999999999850e-01,3.549831999999999987e-01,2.048010000000000282e-03
1.324000000000000003e-02,-4.232554000000000038e-01,3.618098000000000147e-01,3.413349999999999891e-03
1.326000000000000095e-02,-4.232554000000000038e-01,3.549831999999999987e-01,-2.048010000000000282e-03
1.328000000000000014e-02,-4.232554000000000038e-01,3.583965000000000067e-01,3.413349999999999891e-03
1.330000000000000106e-02,-4.300820999999999672e-01,3.618098000000000147e-01,-6.826700000000000216e-04
1.332000000000000024e-02,-4.232554000000000038e-01,3.583965000000000067e-01,-8.192040000000001126e-03
1.334000000000000116e-02,-4.300820999999999672e-01,3.515699000000000463e-01,2.048010000000000282e-03
1.336000000000000035e-02,-4.300820999999999672e-01,3.583965000000000067e-01,-4.096020000000000563e-03
1.338000000000000127e-02,-4.369087999999999861e-01,3.515699000000000463e-01,2.730680000000000086e-03
1.340000000000000045e-02,-4.232554000000000038e-01,3.549831999999999987e-01,-3.413349999999999891e-03
1.342000000000000137e-02,-4.369087999999999861e-01,3.481566000000000383e-01,1.365340000000000043e-03
1.344000000000000056e-02,-4.369087999999999861e-01,3.515699000000000463e-01,6.826700000000000216e-04
1.346000000000000148e-02,-4.300820999999999672e-01,3.447433000000000303e-01,-4.096020000000000563e-03
1.348000000000000066e-02,-4.300820999999999672e-01,3.447433000000000303e-01,4.778690000000000368e-03
1.350000000000000158e-02,-4.369087999999999861e-01,3.515699000000000463e-01,-2.048010000000000282e-03
1.352000000000000077e-02,-4.369087999999999861e-01,3.515699000000000463e-01,2.048010000000000282e-03
1.353999999999999995e-02,-4.369087999999999861e-01,3.549831999999999987e-01,-6.144029999999999977e-03
1.356000000000000087e-02,-4.369087999999999861e-01,3.549831999999999987e-01,-6.144029999999999977e-03
1.358000000000000006e-02,-4.437355000000000049e-01,3.481566000000000383e-01,2.048010000000000282e-03
1.360000000000000098e-02,-4.437355000000000049e-01,3.515699000000000463e-01,3.413349999999999891e-03
1.362000000000000016e-02,-4.369087999999999861e-01,3.481566000000000383e-01,-4.778690000000000368e-03
1.364000000000000108e-02,-4.369087999999999861e-01,3.481566000000000383e-01,-3.413349999999999891e-03
1.366000000000000027e-02,-4.505621999999999683e-01,3.447433000000000303e-01,6.826700000000000216e-04
1.368000000000000119e-02,-4.437355000000000049e-01,3.481566000000000383e-01,2.730680000000000086e-03
1.370000000000000037e-02,-4.505621999999999683e-01,3.515699000000000463e-01,-3.413349999999999891e-03
1.372000000000000129e-02,-4.437355000000000049e-01,3.481566000000000383e-01,-6.826699999999999782e-03
1.374000000000000048e-02,-4.505621999999999683e-01,3.515699000000000463e-01,2.730680000000000086e-03
1.376000000000000140e-02,-4.505621999999999683e-01,3.515699000000000463e-01,-2.730680000000000086e-03
1.378000000000000058e-02,-4.437355000000000049e-01,3.447433000000000303e-01,4.778690000000000368e-03
1.379999999999999977e-02,-4.505621999999999683e-01,3.515699000000000463e-01,3.413349999999999891e-03
1.382000000000000069e-02,-4.573888999999999871e-01,3.515699000000000463e-01,-5.461360000000000173e-03
1.384000000000000161e-02,-4.505621999999999683e-01,3.515699000000000463e-01,-6.826699999999999782e-03
1.386000000000000079e-02,-4.573888999999999871e-01,3.413300000000000223e-01,1.365340000000000043e-03
1.387999999999999998e-02,-4.505621999999999683e-01,3.413300000000000223e-01,6.826700000000000216e-04
1.390000000000000090e-02,-4.573888999999999871e-01,3.379167000000000143e-01,-5.461360000000000173e-03
1.392000000000000008e-02,-4.505621999999999683e-01,3.379167000000000143e-01,-2.730680000000000086e-03
1.394000000000000100e-02,-4.573888999999999871e-01,3.345034000000000063e-01,3.413349999999999891e-03
1.396000000000000019e-02,-4.573888999999999871e-01,3.379167000000000143e-01,3.413349999999999891e-03
1.398000000000000111e-02,-4.642156000000000060e-01,3.310900999999999983e-01,-4.778690000000000368e-03
1.400000000000000029e-02,-4.642156000000000060e-01,3.379167000000000143e-01,2.730680000000000086e-03
1.402000000000000121e-02,-4.573888999999999871e-01,3.310900999999999983e-01,-7.509370000000000454e-03
1.404000000000000040e-02,-4.573888999999999871e-01,3.276767999999999903e-01,-9.557380000000000736e-03
1.406000000000000132e-02,-4.642156000000000060e-01,3.242635000000000378e-01,2.730680000000000086e-03
1.408000000000000050e-02,-4.573888999999999871e-01,3.276767999999999903e-01,5.461360000000000173e-03
1.410000000000000142e-02,-4.642156000000000060e-01,3.276767999999999903e-01,-2.730680000000000086e-03
1.412000000000000061e-02,-4.642156000000000060e-01,3.242635000000000378e-01,-8.192040000000001126e-03
1.413999999999999979e-02,-4.710422999999999694e-01,3.174369000000000218e-01,-2.048010000000000282e-03
1.416000000000000071e-02,-4.642156000000000060e-01,3.106103000000000058e-01,-2.048010000000000282e-03
1.418000000000000163e-02,-4.710422999999999694e-01,3.208502000000000298e-01,6.826699999999999782e-03
1.420000000000000082e-02,-4.642156000000000060e-01,3.208502000000000298e-01,-2.048010000000000282e-03
1.422000000000000000e-02,-4.778689999999999882e-01,3.242635000000000378e-01,4.778690000000000368e-03
1.424000000000000092e-02,-4.710422999999999694e-01,3.276767999999999903e-01,-6.144029999999999977e-03
1.426000000000000011e-02,-4.778689999999999882e-01,3.208502000000000298e-01,6.826700000000000216e-04
1.428000000000000103e-02,-4.778689999999999882e-01,3.140236000000000138e-01,-4.778690000000000368e-03
1.430000000000000021e-02,-4.710422999999999694e-01,3.174369000000000218e-01,4.778690000000000368e-03
1.432000000000000113e-02,-4.778689999999999882e-01,3.242635000000000378e-01,6.144029999999999977e-03
1.434000000000000032e-02,-4.710422999999999694e-01,3.276767999999999903e-01,-2.730680000000000086e-03
1.436000000000000124e-02,-4.778689999999999882e-01,3.276767999999999903e-01,5.461360000000000173e-03
1.438000000000000042e-02,-4.846957000000000071e-01,3.242635000000000378e-01,-8.192040000000001126e-03
1.440000000000000134e-02,-4.778689999999999882e-01,3.174369000000000218e-01,-1.024005000000000054e-02
1.442000000000000053e-02,-4.778689999999999882e-01,3.140236000000000138e-01,6.826700000000000216e-04
1.444000000000000145e-02,-4.778689999999999882e-01,3.174369000000000218e-01,4.096020000000000563e-03
1.446000000000000063e-02,-4.846957000000000071e-01,3.140236000000000138e-01,-6.826699999999999782e-03
1.447999999999999982e-02,-4.778689999999999882e-01,3.071969999999999978e-01,-2.048010000000000282e-03
1.450000000000000074e-02,-4.915223999999999704e-01,3.140236000000000138e-01,2.730680000000000086e-03
1.452000000000000166e-02,-4.846957000000000071e-01,3.140236000000000138e-01,5.461360000000000173e-03
1.454000000000000084e-02,-4.915223999999999704e-01,3.071969999999999978e-01,-6.826699999999999782e-03
1.456000000000000003e-02,-4.846957000000000071e-01,3.037836999999999898e-01,-8.874710000000000931e-03
1.458000000000000095e-02,-4.915223999999999704e-01,3.106103000000000058e-01,2.048010000000000282e-03
1.460000000000000013e-02,-4.846957000000000071e-01,3.071969999999999978e-01,-5.461360000000000173e-03
1.462000000000000105e-02,-4.915223999999999704e-01,3.071969999999999978e-01,5.461360000000000173e-03
1.464000000000000024e-02,-4.846957000000000071e-01,3.106103000000000058e-01,2.730680000000000086e-03
1.466000000000000116e-02,-4.915223999999999704e-01,2.969571000000000294e-01,-1.092272000000000035e-02
1.468000000000000034e-02,-4.915223999999999704e-01,2.969571000000000294e-01,-1.365340000000000043e-03
1.470000000000000126e-02,-4.915223999999999704e-01,3.003704000000000374e-01,2.048010000000000282e-03
1.472000000000000045e-02,-4.983490999999999893e-01,3.003704000000000374e-01,2.730680000000000086e-03
1.474000000000000137e-02,-4.915223999999999704e-01,3.106103000000000058e-01,6.826699999999999782e-03
1.476000000000000055e-02,-4.915223999999999704e-01,3.174369000000000218e-01,-6.826699999999999782e-03
1.478000000000000147e-02,-4.983490999999999893e-01,3.106103000000000058e-01,6.826699999999999782e-03
1.480000000000000066e-02,-4.983490999999999893e-01,3.140236000000000138e-01,-3.413349999999999891e-03
1.481999999999999984e-02,-4.983490999999999893e-01,3.208502000000000298e-01,6.144029999999999977e-03
1.484000000000000076e-02,-4.915223999999999704e-01,3.208502000000000298e-01,6.826700000000000216e-04
1.486000000000000168e-02,-5.051757999999999527e-01,3.140236000000000138e-01,-5.461360000000000173e-03
1.488000000000000086e-02,-4.983490999999999893e-01,3.140236000000000138e-01,3.413349999999999891e-03
1.490000000000000005e-02,-5.051757999999999527e-01,3.071969999999999978e-01,-1.092272000000000035e-02
1.492000000000000097e-02,-4.983490999999999893e-01,3.003704000000000374e-01,-1.024005000000000054e-02
