Time(s),Ch1(A),Ch2(V),Ch3(V)
6.159999999999999677e-03,-1.324379799999999996e+00,-2.286911000000000083e-01,-1.365339999999999956e-02
6.179999999999999730e-03,-1.331206499999999959e+00,-2.423443000000000125e-01,5.461360000000000173e-03
6.199999999999999782e-03,-1.317553100000000033e+00,-2.423443000000000125e-01,8.192040000000001126e-03
6.219999999999999835e-03,-1.331206499999999959e+00,-2.321044000000000163e-01,-7.509370000000000454e-03
6.239999999999999887e-03,-1.324379799999999996e+00,-2.286911000000000083e-01,6.826699999999999782e-03
6.259999999999999939e-03,-1.331206499999999959e+00,-2.457576000000000205e-01,-1.638408000000000225e-02
6.279999999999999992e-03,-1.324379799999999996e+00,-2.389310000000000045e-01,-9.557380000000000736e-03
6.300000000000000044e-03,-1.331206499999999959e+00,-2.491709000000000007e-01,8.192040000000001126e-03
6.320000000000000097e-03,-1.324379799999999996e+00,-2.457576000000000205e-01,7.509370000000000454e-03
6.339999999999999282e-03,-1.338033199999999923e+00,-2.355177000000000243e-01,-7.509370000000000454e-03
6.359999999999999334e-03,-1.338033199999999923e+00,-2.423443000000000125e-01,-1.024005000000000054e-02
6.379999999999999387e-03,-1.324379799999999996e+00,-2.321044000000000163e-01,8.874710000000000931e-03
6.399999999999999439e-03,-1.338033199999999923e+00,-2.389310000000000045e-01,8.874710000000000931e-03
6.419999999999999492e-03,-1.331206499999999959e+00,-2.286911000000000083e-01,-9.557380000000000736e-03
6.439999999999999544e-03,-1.338033199999999923e+00,-2.321044000000000163e-01,6.144029999999999977e-03
6.459999999999999597e-03,-1.331206499999999959e+00,-2.491709000000000007e-01,-1.638408000000000225e-02
6.479999999999999649e-03,-1.331206499999999959e+00,-2.559974999999999890e-01,-1.092272000000000035e-02
6.499999999999999702e-03,-1.344859899999999886e+00,-2.457576000000000205e-01,9.557380000000000736e-03
6.519999999999999754e-03,-1.344859899999999886e+00,-2.457576000000000205e-01,8.192040000000001126e-03
6.539999999999999807e-03,-1.331206499999999959e+00,-2.389310000000000045e-01,-8.874710000000000931e-03
6.559999999999999859e-03,-1.344859899999999886e+00,-2.423443000000000125e-01,4.778690000000000368e-03
6.579999999999999911e-03,-1.338033199999999923e+00,-2.525842000000000365e-01,-1.160539000000000015e-02
6.599999999999999964e-03,-1.338033199999999923e+00,-2.559974999999999890e-01,-7.509370000000000454e-03
6.620000000000000016e-03,-1.344859899999999886e+00,-2.423443000000000125e-01,1.024005000000000054e-02
6.640000000000000069e-03,-1.344859899999999886e+00,-2.389310000000000045e-01,6.826699999999999782e-03
6.659999999999999254e-03,-1.331206499999999959e+00,-2.525842000000000365e-01,-1.297072999999999976e-02
6.680000000000000174e-03,-1.338033199999999923e+00,-2.457576000000000205e-01,-4.778690000000000368e-03
6.699999999999999359e-03,-1.331206499999999959e+00,-2.286911000000000083e-01,1.297072999999999976e-02
6.719999999999999411e-03,-1.338033199999999923e+00,-2.252778000000000003e-01,8.192040000000001126e-03
6.739999999999999464e-03,-1.331206499999999959e+00,-2.355177000000000243e-01,-1.024005000000000054e-02
6.759999999999999516e-03,-1.338033199999999923e+00,-2.423443000000000125e-01,-7.509370000000000454e-03
6.779999999999999569e-03,-1.324379799999999996e+00,-2.286911000000000083e-01,1.092272000000000035e-02
6.799999999999999621e-03,-1.331206499999999959e+00,-2.355177000000000243e-01,1.092272000000000035e-02
6.819999999999999674e-03,-1.324379799999999996e+00,-2.116246000000000238e-01,-4.778690000000000368e-03
6.839999999999999726e-03,-1.331206499999999959e+00,-2.116246000000000238e-01,1.365340000000000043e-03
6.859999999999999779e-03,-1.324379799999999996e+00,-2.389310000000000045e-01,-1.706675000000000206e-02
6.879999999999999831e-03,-1.331206499999999959e+00,-2.389310000000000045e-01,-1.024005000000000054e-02
6.899999999999999883e-03,-1.317553100000000033e+00,-2.525842000000000365e-01,6.826699999999999782e-03
6.919999999999999936e-03,-1.317553100000000033e+00,-2.491709000000000007e-01,9.557380000000000736e-03
6.939999999999999988e-03,-1.331206499999999959e+00,-2.321044000000000163e-01,-8.192040000000001126e-03
6.960000000000000041e-03,-1.324379799999999996e+00,-2.389310000000000045e-01,-1.365339999999999956e-02
