Time(s),Ch1(A),Ch2(V),Ch3(V)
-2.500000000000000139e-02,-1.037658399999999981e+00,0.000000000000000000e+00,7.850589999999999305e-03
-2.494999999999999996e-02,-1.030831700000000017e+00,6.826699999999999782e-03,0.000000000000000000e+00
-2.490000000000000199e-02,-1.030831700000000017e+00,6.826699999999999782e-03,7.167929999999999441e-03
-2.485000000000000056e-02,-1.024005000000000054e+00,0.000000000000000000e+00,-2.730639999999999890e-03
-2.480000000000000260e-02,-1.024005000000000054e+00,0.000000000000000000e+00,-1.365319999999999945e-03
-2.475000000000000117e-02,-1.024005000000000054e+00,6.826699999999999782e-03,5.461279999999999780e-03
-2.469999999999999973e-02,-1.024005000000000054e+00,0.000000000000000000e+00,6.485269999999999577e-03
-2.465000000000000177e-02,-1.017178299999999869e+00,0.000000000000000000e+00,-3.071969999999999822e-03
-2.460000000000000034e-02,-1.017178299999999869e+00,0.000000000000000000e+00,3.754629999999999686e-03
-2.455000000000000238e-02,-1.010351599999999905e+00,0.000000000000000000e+00,-4.778619999999999916e-03
-2.450000000000000094e-02,-1.010351599999999905e+00,0.000000000000000000e+00,2.730639999999999890e-03
-2.445000000000000298e-02,-1.003524899999999942e+00,-6.826699999999999782e-03,-7.167929999999999441e-03
-2.440000000000000155e-02,-1.010351599999999905e+00,-6.826699999999999782e-03,-7.167929999999999441e-03
-2.435000000000000012e-02,-1.003524899999999942e+00,0.000000000000000000e+00,5.802609999999999713e-03
-2.430000000000000215e-02,-1.003524899999999942e+00,0.000000000000000000e+00,8.191920000000000104e-03
-2.425000000000000072e-02,-9.966981999999999786e-01,6.826699999999999782e-03,2.047980000000000026e-03
-2.420000000000000276e-02,-9.966981999999999786e-01,0.000000000000000000e+00,1.023990000000000013e-03
-2.415000000000000133e-02,-1.003524899999999942e+00,6.826699999999999782e-03,8.191920000000000104e-03
-2.409999999999999989e-02,-9.966981999999999786e-01,6.826699999999999782e-03,6.826599999999999509e-03
-2.405000000000000193e-02,-9.898715000000000153e-01,0.000000000000000000e+00,-1.706649999999999877e-03
-2.400000000000000050e-02,-9.966981999999999786e-01,0.000000000000000000e+00,-9.215909999999999033e-03
-2.395000000000000254e-02,-9.898715000000000153e-01,-6.826699999999999782e-03,0.000000000000000000e+00
-2.390000000000000110e-02,-9.898715000000000153e-01,-6.826699999999999782e-03,-9.215909999999999033e-03
-2.385000000000000314e-02,-9.830447999999999409e-01,-1.365339999999999956e-02,-1.706649999999999877e-03
-2.380000000000000171e-02,-9.830447999999999409e-01,-6.826699999999999782e-03,-1.399452999999999982e-02
-2.375000000000000028e-02,-9.762180999999999775e-01,-1.365339999999999956e-02,-4.778619999999999916e-03
-2.370000000000000231e-02,-9.762180999999999775e-01,-6.826699999999999782e-03,-1.706649999999999877e-03
-2.365000000000000088e-02,-9.762180999999999775e-01,-6.826699999999999782e-03,-9.215909999999999033e-03
-2.360000000000000292e-02,-9.762180999999999775e-01,-6.826699999999999782e-03,-7.509259999999999373e-03
-2.355000000000000149e-02,-9.693914000000000142e-01,0.000000000000000000e+00,-3.413299999999999863e-04
-2.350000000000000006e-02,-9.693914000000000142e-01,0.000000000000000000e+00,0.000000000000000000e+00
-2.345000000000000209e-02,-9.693914000000000142e-01,-1.365339999999999956e-02,-1.467718999999999968e-02
-2.340000000000000066e-02,-9.693914000000000142e-01,-1.365339999999999956e-02,-1.399452999999999982e-02
-2.335000000000000270e-02,-9.625646999999999398e-01,-6.826699999999999782e-03,-6.826599999999999726e-04
-2.330000000000000127e-02,-9.625646999999999398e-01,-6.826699999999999782e-03,-1.228787999999999929e-02
-2.324999999999999983e-02,-9.557379999999999765e-01,-1.365339999999999956e-02,-2.389309999999999958e-03
-2.320000000000000187e-02,-9.625646999999999398e-01,-6.826699999999999782e-03,-6.485269999999999577e-03
-2.315000000000000044e-02,-9.557379999999999765e-01,-1.365339999999999956e-02,-1.092255999999999956e-02
-2.310000000000000248e-02,-9.557379999999999765e-01,-1.365339999999999956e-02,-1.297053999999999915e-02
-2.305000000000000104e-02,-9.489113000000000131e-01,-6.826699999999999782e-03,-3.754629999999999686e-03
-2.299999999999999961e-02,-9.557379999999999765e-01,-6.826699999999999782e-03,-4.095960000000000052e-03
-2.295000000000000165e-02,-9.420845999999999387e-01,-1.365339999999999956e-02,-1.570117999999999861e-02
-2.290000000000000022e-02,-9.489113000000000131e-01,-6.826699999999999782e-03,-4.778619999999999916e-03
-2.285000000000000225e-02,-9.420845999999999387e-01,-1.365339999999999956e-02,-1.672517000000000101e-02
-2.280000000000000082e-02,-9.420845999999999387e-01,-6.826699999999999782e-03,-5.119949999999999848e-03
-2.274999999999999939e-02,-9.352578999999999754e-01,-1.365339999999999956e-02,-1.604250999999999941e-02
-2.270000000000000143e-02,-9.420845999999999387e-01,-6.826699999999999782e-03,-1.911447999999999967e-02
-2.264999999999999999e-02,-9.352578999999999754e-01,-1.365339999999999956e-02,-6.826599999999999509e-03
-2.260000000000000203e-02,-9.352578999999999754e-01,-1.365339999999999956e-02,-1.638384000000000021e-02
-2.255000000000000060e-02,-9.284312000000000120e-01,-1.365339999999999956e-02,-5.802609999999999713e-03
-2.250000000000000264e-02,-9.352578999999999754e-01,-6.826699999999999782e-03,-5.119949999999999848e-03
-2.245000000000000120e-02,-9.284312000000000120e-01,-1.365339999999999956e-02,-1.501851999999999875e-02
-2.239999999999999977e-02,-9.284312000000000120e-01,-1.365339999999999956e-02,-1.433585999999999888e-02
