Stage position (?m),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
7.27989,70.8,703.9,0.0420549,10000,1.03E+07,1.67E+06,7039,346626,708,1,12
7.30003,70.2,737,0.127275,10000,1.03E+07,1.67E+06,7370,346631,702,3,9
7.32017,86.3,833.7,0.13767,10000,1.03E+07,1.67E+06,8337,347763,863,4,12
7.3397,100.8,961.9,0.0589377,10000,1.03E+07,1.67E+06,9619,347271,1008,2,11
7.35984,117.2,1048.8,0.0253486,10000,1.03E+07,1.67E+06,10488,347234,1172,1,6
7.37999,144.4,1172.6,0.0617254,10000,1.03E+07,1.67E+06,11726,347225,1444,3,10
7.40013,157.8,1282.6,0.0751112,10000,1.03E+07,1.67E+06,12826,347920,1578,4,7
7.42027,168.6,1309.7,0.0528631,10000,1.03E+07,1.67E+06,13097,347043,1686,3,6
7.4398,180.6,1358.5,0.0164368,10000,1.03E+07,1.67E+06,13585,347302,1806,1,14
7.45994,177.6,1322.3,0.0167119,10000,1.03E+07,1.67E+06,13223,347063,1776,1,7
7.48009,166.2,1265.9,0.107041,10000,1.03E+07,1.67E+06,12659,347652,1662,6,15
7.50023,156.1,1169.2,0.0380558,10000,1.03E+07,1.67E+06,11692,346989,1561,2,9
7.51976,142.7,1061.7,0.0415773,10000,1.03E+07,1.67E+06,10617,347488,1427,2,8
7.5399,128.8,943.6,0.0230504,10000,1.03E+07,1.67E+06,9436,347118,1288,1,7
7.56005,108.4,843.9,0.027407,10000,1.03E+07,1.67E+06,8439,346627,1084,1,9
7.58019,95.5,760.1,0.0621556,10000,1.03E+07,1.67E+06,7601,346873,955,2,6
7.59972,80.7,680.4,0,10000,1.03E+07,1.67E+06,6804,346663,807,0,4
7.61986,74.6,666,0.119593,10000,1.03E+07,1.66E+06,6660,346028,746,3,9
7.64,70.4,694,0.0422133,10000,1.03E+07,1.67E+06,6940,346336,704,1,2
7.66015,74.4,749.2,0.0801025,10000,1.03E+07,1.66E+06,7492,345400,744,2,6
7.6809,91.5,842.3,0.0976506,10000,1.03E+07,1.66E+06,8423,345658,915,3,4
7.69982,103,939.6,0.0287918,10000,1.03E+07,1.66E+06,9396,346933,1030,1,3
7.71996,118,1049.3,0.0503856,10000,1.03E+07,1.66E+06,10493,346040,1180,2,9
7.7401,138.8,1164.9,0.0213806,10000,1.03E+07,1.67E+06,11649,346403,1388,1,4
7.76025,149.7,1250.5,0.0793086,10000,1.03E+07,1.66E+06,12505,346327,1497,4,12
7.77978,160.2,1299.1,0.09256,10000,1.03E+07,1.66E+06,12991,346781,1602,5,10
7.79992,180.2,1345.5,0.0659465,10000,1.03E+07,1.66E+06,13455,346055,1802,4,9
7.81945,180.6,1308.3,0.082119,10000,1.03E+07,1.66E+06,13083,346803,1806,5,11
7.84082,171.2,1263.4,0.0693548,10000,1.03E+07,1.66E+06,12634,346292,1712,4,13
7.85974,156.8,1196.8,0.018968,10000,1.03E+07,1.66E+06,11968,345544,1568,1,7
7.87988,149.1,1064.8,0.0398046,10000,1.03E+07,1.67E+06,10648,346443,1491,2,9
7.90002,126.3,965.2,0.0941764,10000,1.03E+07,1.66E+06,9652,345952,1263,4,10
7.92016,107.5,842.2,0.0827085,10000,1.03E+07,1.67E+06,8422,346936,1075,3,7
7.9397,91.5,779.9,0.0972835,10000,1.03E+07,1.67E+06,7799,346323,915,3,9
7.95984,78.8,702.6,0.0375677,10000,1.03E+07,1.67E+06,7026,347208,788,1,6
7.97998,72.4,691.9,0.040885,10000,1.03E+07,1.66E+06,6919,347156,724,1,10
8.00012,66.8,695.6,0,10000,1.03E+07,1.67E+06,6956,346630,668,0,3
